slug,name,one_liner,recommended_tier
code-review,code review,Catching bugs and style drift before a pull request lands,code
refactoring,refactoring,Restructuring an existing function or module without changing behavior,code
test-writing,writing unit tests,Generating focused unit tests against a function under test,code
documentation,writing documentation,"Drafting README sections and runbook outlines",compact
shell-scripts,shell scripts,Composing zsh and bash one-liners and short scripts,nano
sql-queries,SQL,Sketching SELECT and JOIN clauses against a known schema,lite
regex,regular expressions,Constructing and explaining regex patterns,nano
data-cleaning,data cleaning,Pandas-style transforms on a small dataframe,lite
brainstorming,brainstorming,Generating product or naming candidates without a network round-trip,quick
summarization,summarization,"Condensing notes and meeting transcripts into a brief",compact
