slug,name,chip,cpu_cores,gpu_cores,unified_ram_gb,memory_bandwidth_gbs,year,family,sold_new,cooling,chassis
m1-macbook-air,MacBook Air M1,Apple M1,8,7-8,8|16,68.25,2020,M1,no,fanless,laptop
m1-macbook-pro-13,MacBook Pro 13 M1,Apple M1,8,8,8|16,68.25,2020,M1,no,active,laptop
m1-mac-mini,Mac mini M1,Apple M1,8,8,8|16,68.25,2020,M1,no,active,desktop
m1-imac,iMac M1,Apple M1,8,7-8,8|16,68.25,2021,M1,no,active,desktop
m1-pro-macbook-pro,MacBook Pro M1 Pro,Apple M1 Pro,8-10,14-16,16|32,200,2021,M1,no,active,laptop
m1-max-macbook-pro,MacBook Pro M1 Max,Apple M1 Max,10,24-32,32|64,400,2021,M1,no,active,laptop
m1-ultra-mac-studio,Mac Studio M1 Ultra,Apple M1 Ultra,20,48-64,64|128,800,2022,M1,no,active,desktop
m2-macbook-air,MacBook Air M2,Apple M2,8,8-10,8|16|24,100,2022,M2,no,fanless,laptop
m2-macbook-pro-13,MacBook Pro 13 M2,Apple M2,8,10,8|16|24,100,2022,M2,no,active,laptop
m2-mac-mini,Mac mini M2,Apple M2,8,10,8|16|24,100,2023,M2,yes,active,desktop
m2-pro-macbook-pro,MacBook Pro M2 Pro,Apple M2 Pro,10-12,16-19,16|32,200,2023,M2,no,active,laptop
m2-max-macbook-pro,MacBook Pro M2 Max,Apple M2 Max,12,30-38,32|64|96,400,2023,M2,no,active,laptop
m2-ultra-mac-studio,Mac Studio M2 Ultra,Apple M2 Ultra,24,60-76,64|128|192,800,2023,M2,no,active,desktop
m3-macbook-air-13,MacBook Air 13 M3,Apple M3,8,8-10,8|16|24,100,2024,M3,no,fanless,laptop
m3-macbook-air-15,MacBook Air 15 M3,Apple M3,8,10,8|16|24,100,2024,M3,no,fanless,laptop
m3-imac,iMac M3,Apple M3,8,8-10,8|16|24,100,2023,M3,no,active,desktop
m3-pro-macbook-pro,MacBook Pro M3 Pro,Apple M3 Pro,11-12,14-18,18|36,150,2023,M3,no,active,laptop
m3-max-macbook-pro,MacBook Pro M3 Max,Apple M3 Max,14-16,30-40,36|48|64|96|128,300-400,2023,M3,no,active,laptop
m4-macbook-pro-14,MacBook Pro 14 M4,Apple M4,10,10,16|24|32,120,2024,M4,yes,active,laptop
m4-imac,iMac M4,Apple M4,8-10,8-10,16|24|32,120,2024,M4,yes,active,desktop
m4-mac-mini,Mac mini M4,Apple M4,10,10,16|24|32,120,2024,M4,yes,active,desktop
m4-pro-mac-mini,Mac mini M4 Pro,Apple M4 Pro,12-14,16-20,24|48|64,273,2024,M4,yes,active,desktop
m4-pro-macbook-pro,MacBook Pro M4 Pro,Apple M4 Pro,12-14,16-20,24|48,273,2024,M4,yes,active,laptop
m4-max-macbook-pro,MacBook Pro M4 Max,Apple M4 Max,14-16,32-40,36|48|64|128,410-546,2024,M4,yes,active,laptop
m4-air-13,MacBook Air 13 M4,Apple M4,10,8-10,16|24|32,120,2025,M4,yes,fanless,laptop
m4-air-15,MacBook Air 15 M4,Apple M4,10,10,16|24|32,120,2025,M4,yes,fanless,laptop
m4-ultra-mac-studio,Mac Studio M4 Ultra,Apple M4 Ultra,28-32,60-80,64|128|192|256|512,1092,2025,M4,yes,active,desktop
