slug,category,short_name,description
cloud-coding-assistants,cloud,cloud-based coding assistants,Network-dependent code completion and chat tools that send your code to a remote model
cloud-chatbots,cloud,cloud chatbots,Browser- or app-based assistants that round-trip every prompt to a remote API
hosted-llm-apis,cloud,hosted LLM APIs,Pay-per-token APIs where each request is logged on the provider side
local-runtimes,local,other local AI runtimes,Self-hosted command-line tools that run open weights on your own hardware
container-based-runners,local,container-based local model runners,Docker- or VM-wrapped local model servers
generic-mlx-cli,local,generic MLX command-line tools,Bare mlx_lm.generate scripts without a packaged UI
gguf-runners,local,GGUF-based local runners,llama.cpp-style runners that consume GGUF quantized weights
chat-only-desktop-apps,local,chat-only local desktop apps,Local model UIs that lack agent or code execution surfaces
browser-extension-coding,cloud,browser-extension coding helpers,Browser plugins that send page content to a remote model
notebook-cloud-assistants,cloud,notebook cloud assistants,Cloud-hosted notebook copilots that run server-side
